pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
¿Cómo se llama el bar al que asiste Homero con frecuencia?,"Moe's","Barney's","Lenny's","Joe's",1
¿Cómo se llama el payaso favorito de Bart?,Krusty,Bozo,Bonko,Krusty el Grande,1
¿Cuál es el apellido de la familia Simpson?,Simpson,Smith,Sampson,Simson,1
¿Cómo se llama la maestra de Bart?,Edna Krabappel,Elizabeth Hoover,Marge Bouvier,Selma Bouvier,1
¿Cómo se llama el vecino religioso de los Simpson?,Ned Flanders,Reverendo Lovejoy,Apu Nahasapeemapetilon,Hank Scorpio,1
¿Qué instrumento toca Lisa Simpson?,Saxofón,Guitarra,Piano,Trompeta,1
¿Cuál es el nombre completo de Homero Simpson?,Homero J. Simpson,Homero A. Simpson,Homero T. Simpson,Homero Q. Simpson,1
¿Cómo se llama el dueño de la planta nuclear?,Sr. Burns,Sr. Smithers,Sr. Scorpio,Sr. Monty,1
¿Cómo se llaman las tías de Bart Lisa y Maggie?,Patty y Selma,Patricia y Selene,Pat y Sally,Marge y Selma,1
¿Cómo se llama el payaso Krusty en realidad?,Herschel Krustofski,Homer Krustofski,Hershel Klein,Harry Krustof,1
¿Cuál es el segundo nombre de Milhouse?,Mussolini,Van Houten,Hubert,Martin,1
¿Quién es el dueño de la tienda de cómics?,Jeff Albertson,Martin Prince,Milhouse Van Houten,Kirk Van Houten,1
¿Cómo se llama la madre de Milhouse?,Luann,Lois,Lisa,Leslie,1
¿Cuál es el plato favorito de Homero?,Rosquillas,Pizza,Hamburguesas,Costillas,1
¿Quién trabaja como actor secundario?,Bob,Krusty,Moe,Willie,1
¿Qué mascota tienen los Simpson?,Ayudante de Santa,Gato Garfield,Huesos,Bola de Nieve II,1
¿Cómo se llama el doctor de Springfield?,Dr. Hibbert,Dr. Nick,Dr. Marvin,Dr. Lovejoy,1
¿Quién dice la frase: "¡Oh, cielos!"?,Ned Flanders,Helen Lovejoy,Maude Flanders,Marge Simpson,1
¿Cuál es el programa favorito de Maggie?,Los Teletubbies,El Show de Krusty,Los Itchy & Scratchy,Seinfeld,2
¿Dónde trabaja Homero?,Planta Nuclear,Tienda Kwik-E-Mart,Bar de Moe,Colegio de Springfield,1
¿Cómo se llama el jefe de Homero?,Sr. Burns,Sr. Smithers,Capitán McCallister,Lionel Hutz,1
¿Qué animal robótico aparece en Itchy & Scratchy Land?,Pterodáctilo,Perro,Gato,Ratón,4
¿Cuál es el nombre del fundador de Springfield?,Jebediah Springfield,Sheldon Springfield,Jacob Springfield,Jeremiah Springfield,1
¿Quién es el alcalde de Springfield?,Joe Quimby,Snake Jailbird,Apu Nahasapeemapetilon,Jeff Albertson,1
¿Cuál es el deporte favorito de Bart?,Skateboarding,Béisbol,Fútbol,Karate,1
¿Cómo se llama el personaje que siempre tiene mala suerte?,Gil Gunderson,Lionel Hutz,Moe Szyslak,Hans Moleman,1
¿Quién es el director de la escuela de Springfield?,Seymour Skinner,Edna Krabappel,Otto Mann,Lisa Simpson,1
¿Qué frase popular dice el actor secundario Bob?,¡Vendetta!,¡Ciao!,¡Hasta la vista!,¡Por fin!,1
¿Cómo se llama el extraterrestre de Los Simpson?,Kang,Kodos,Klark,Klon,1
¿Cuál es el apodo de Barney Gumble?,El Rey de la Cerveza,El Borracho,El Campeón,El Barbaro,1
¿Cómo se llama el abuelo de los Simpson?,Abraham Simpson,Herbert Simpson,Milhouse Simpson,Joe Simpson,1
¿Qué color es el vestido de Lisa?,Rojo,Amarillo,Azul,Verde,1
¿Cómo se llama el villano millonario recurrente?,Sr. Burns,Hank Scorpio,Krusty,Bob,1
¿Quién dirige el Kwik-E-Mart?,Apu,Abe,Willie,Smithers,1
¿Qué mascota tiene el abuelo Simpson?,Huesos,Gato de Bolas de Nieve,Ratoncito,Hamster,1
¿Cómo se llama el personaje obsesionado con los pantalones de Homero?,Frank Grimes,Lenny,Milhouse,Willie,1
¿Cuál es el apodo del jefe de policía?,Jefe Wiggum,Willy,Jefe Grimes,Jefe Albertson,1
¿Quién fundó Itchy & Scratchy?,Roger Meyers Jr.,Jeff Albertson,Krusty el Payaso,Mr. Largo,1
¿Cómo se llama la esposa de Ned Flanders?,"Maude","Edna","Patty","Selma",1
¿Que instrumento toca el Reverendo Lovejoy?,"Guitarra","Órgano","Trombón","Saxofón",2
¿Quien es el profesor de musica de Springfield?,"Dewey Largo","Edna Krabappel","Skinner","Hibbert",1
¿Cuál es la bebida favorita de Homero?,"Cerveza Duff","Vino","Vodka","Limonada",1
¿Como se llama el chef frances que compite contra Bart?,"Skinner","Ramsey","Bob","Bernard",1
¿Qué robot aparece en el futuro de Los Simpson?,"Bender","Futurama","X-1000","Auto",1
¿Como se llama el parque de diversiones favorito?,"Duff Gardens","Itchy & Scratchy Land","Parque Springfield","Krusty World",1
¿Cual es el apodo de Maggie?,"La Bebe","Maggie Pistolas","La Chica","Maggie Mosquete",2
¿Que frase dice Homero cuando algo le sale mal?,"¡D'oh!","¡Rayos!",¡"Maldición!","¡Oh no!",1
¿Como se llama la isla de gatos que visitan?,"Isla Felina","Isla Purr","Isla Miau","Isla Garfield",1
¿Como se llama la hermana gemela de Sherri?,"Terri","Kerri","Berri","Marri",1
¿Que famoso actor fue amigo imaginario de Homero en un episodio?,"John Wayne","Clint Eastwood","James Bond","Ron Howard",1
